37292 /  1-2 Switch /  $30.01 /  $30.31 /  $34.84 / 
46370 /  Darkest Dungeon /  $20.66 /  $23.30 /  $30.20 / 
58292 /  "Darkest Dungeon [Collectors Edition]" /  $23.87 /  $27.20 /  $35.69 / 
65167 /  Darksiders II [Deathinitive Edition] /  $20.37 /  $21.00 /  $30.24 / 
58212 /  Darksiders [Warmastered Edition] /  $21.11 /  $21.90 /  $30.39 / 
62410 /  Darksiders [Warmastered Edition] [Misprint] /  $29.96 /  $35.00 /  $35.00 / 
47027 /  De Blob /  $16.86 /  $16.91 /  $19.98 / 
50098 /  De Blob 2 /  $16.91 /  $19.45 /  $24.49 / 
50107 /  Dead Cells /  $22.00 /  $24.94 /  $33.89 / 
65349 /  Dead by Daylight: Definitive Edition /  $23.97 /  $27.57 /  $48.77 / 
52715 /  Death Mark /  $22.70 /  $25.54 /  $27.27 / 
52718 /  Death Mark [Limited Edition] /  $36.86 /  $37.99 /  $45.99 / 
62424 /  Death Road to Canada /  $30.43 /  $34.99 /  $49.99 / 
54053 /  Deemo /  $26.99 /  $27.61 /  $28.74 / 
65499 /  Destiny Connect: Tick-Tock Travelers /   /   /   / 
65497 /  Destiny Connect: Tick-Tock Travelers [Time Capsule Edition] /  $27.55 /  $28.77 /  $44.99 / 
53895 /  Diablo III Eternal Collection /  $31.03 /  $33.23 /  $37.00 / 
65321 /  Digimon Story: Cyber Sleuth Complete Edition /  $29.08 /  $33.44 /  $39.99 / 
50158 /  Dimension Drive /  $41.72 /  $47.64 /  $57.52 / 
50159 /  Dimension Drive Limited Edition /  $43.00 /  $49.55 /  $74.56 / 
52132 /  Disgaea 1 Complete /  $28.30 /  $31.60 /  $32.64 / 
53793 /  "Disgaea 1 Complete [Collectors Edition]" /  $80.00 /  $114.99 /  $120.00 / 
65493 /  Disgaea 4 Complete+ /  $33.98 /  $39.00 /  $50.30 / 
65605 /  Disgaea 4 Complete+ [HL-Raising Edition] /   /   /   / 
37602 /  Disgaea 5 Complete /  $23.87 /  $26.50 /  $34.17 / 
38578 /  Disgaea 5 Complete Limited Edition /  $114.48 /  $117.53 /  $171.71 / 
65537 /  Disney Classic Games: Aladdin and The Lion King /  $23.00 /  $24.96 /  $25.50 / 
46417 /  Donkey Kong Country Tropical Freeze /  $34.99 /  $37.77 /  $46.09 / 
40471 /  Doom /  $34.61 /  $36.00 /  $46.30 / 
66537 /  Double Switch /   /   /  $35.99 / 
66536 /  Double Switch Classic Edition /   /   /   / 
66531 /  Downwell /   /   /   / 
51990 /  Dragon Ball FighterZ /  $22.94 /  $26.71 /  $28.00 / 
39914 /  Dragon Ball Xenoverse 2 /  $18.02 /  $19.49 /  $25.28 / 
58030 /  Dragon Marked For Death /  $27.62 /  $29.24 /  $34.98 / 
45121 /  Dragon Quest Builders /  $30.44 /  $34.95 /  $45.76 / 
61902 /  Dragon Quest Builders 2 /  $36.14 /  $40.00 /  $44.00 / 
63930 /  Dragon Quest XI S: Echoes of an Elusive Age Definitive Edition /  $37.21 /  $43.65 /  $47.64 / 
58274 /  "Dragons Dogma: Dark Arisen" /  $20.89 /  $23.00 /  $25.67 / 
63263 /  "Dragons Lair Trilogy" /  $34.99 /  $40.02 /  $55.98 / 
63273 /  "Dragons Lair Trilogy [Classic Edition]" /  $65.99 /  $75.89 /  $91.56 / 
54474 /  Dragons: Dawn of New Riders /  $12.66 /  $14.97 /  $19.24 / 
55819 /  Dust: An Elysian Tail /  $43.33 /  $45.00 /  $63.50 / 
58153 /  "Dust: An Elysian Tail [Collectors Edition]" /  $66.33 /  $76.04 /  $100.45 / 
40521 /  Elder Scrolls V: Skyrim /  $37.00 /  $37.99 /  $44.99 / 
62488 /  Enter the Gungeon /  $19.35 /  $24.42 /  $33.63 / 
65512 /  Enter the Gungeon [Limited Edition] /  $46.66 /  $53.84 /  $69.99 / 
65620 /  Everspace [Stellar Edition] /  $31.99 /  $42.74 /  $46.00 / 
39925 /  FIFA 18 /  $13.39 /  $16.10 /  $18.96 / 
50746 /  FIFA 19 /  $20.93 /  $21.09 /  $25.71 / 
50747 /  FIFA 19 [Champions Edition] /  $21.99 /  $22.98 /  $32.93 / 
63933 /  FIFA 20 /  $39.00 /  $39.99 /  $39.99 / 
65514 /  Fairy Fencer F: Advent Dark Force /   /   /   / 
46972 /  Fallen Legion: Rise to Glory /  $17.00 /  $19.55 /  $20.36 / 
46973 /  Fallen Legion: Rise to Glory [Limited Edition] /  $41.12 /  $47.98 /  $49.00 / 
40448 /  Farming Simulator /  $16.70 /  $17.30 /  $25.90 / 
53774 /  Farming Simulator & Hunting Simulator Bundle /   /   /   / 
57977 /  Fate/Extella Link /  $30.00 /  $31.99 /  $39.25 / 
57978 /  Fate/Extella Link [Fleeting Glory Edition] /  $39.46 /  $45.38 /  $59.00 / 
38060 /  Fate/Extella: The Umbral Star /  $21.68 /  $25.87 /  $29.85 / 
58190 /  Final Fantasy X X-2 HD Remaster /  $24.99 /  $26.55 /  $36.00 / 
58296 /  Final Fantasy XII: The Zodiac Age /  $27.68 /  $32.36 /  $32.50 / 
40318 /  Fire Emblem Warriors /  $16.62 /  $19.22 /  $20.25 / 
40319 /  Fire Emblem Warriors Special Edition /  $31.00 /  $32.72 /  $39.99 / 
62384 /  Fire Emblem: Three Houses /  $43.00 /  $43.36 /  $73.50 / 
62383 /  Fire Emblem: Three Houses [Seasons of Warfare Edition] /  $119.99 /  $129.09 /  $131.06 / 
54472 /  Fitness Boxing /  $33.63 /  $37.00 /  $39.99 / 
51998 /  Flashback /  $16.19 /  $19.20 /  $21.59 / 
58590 /  "Flashback 25th Anniversary [Collectors Edition]" /  $19.21 /  $20.99 /  $28.82 / 
50099 /  Flinthook /  $31.30 /  $36.00 /  $47.33 / 
52158 /  Flipping Death /  $15.84 /  $19.98 /  $20.23 / 
58555 /  For the King /  $19.94 /  $22.76 /  $35.47 / 
65524 /  Forager /  $20.26 /  $23.59 /  $26.24 / 
53729 /  Fortnite: Deep Freeze /  $19.37 /  $19.96 /  $28.00 / 
58143 /  Fox n Forests /  $88.77 /  $95.39 /  $106.66 / 
58144 /  "Fox n Forests [Collectors Edition]" /  $143.32 /  $164.82 /  $167.58 / 
65187 /  Freedom Planet /  $25.65 /  $32.99 /  $53.60 / 
62993 /  Friday the 13th [Ultimate Slayer Edition] /  $26.74 /  $30.76 /  $39.99 / 
62490 /  Fruit Fall Crush /  $9.86 /  $11.34 /  $11.34 / 
61876 /  Fun Fun Animal Park /  $19.09 /  $22.75 /  $25.93 / 
53953 /  Furi /  $41.17 /  $49.43 /  $59.99 / 
58135 /  "Furi [Collectors Edition]" /  $69.57 /  $80.00 /  $108.40 / 
52709 /  Gal Metal World Tour Edition /  $14.84 /  $15.46 /  $20.50 / 
46419 /  GalGun 2 /  $25.49 /  $32.94 /  $45.00 / 
47054 /  GalGun 2 Free Hugs Edition /  $153.01 /  $175.96 /  $190.00 / 
42372 /  Gear Club Unlimited /  $17.05 /  $19.99 /  $20.60 / 
53839 /  Gear Club Unlimited 2 /  $23.01 /  $23.26 /  $27.20 / 
66773 /  Ghost Blade HD /   /   /   / 
65536 /  Ghost Parade /  $26.71 /  $30.66 /  $38.49 / 
65043 /  Ghostbusters: The Video Game Remastered /  $26.97 /  $30.79 /  $39.96 / 
58010 /  Giana Sisters: Twisted Dreams /  $11.66 /  $13.84 /  $20.76 / 
61458 /  Giga Wrecker ALT /  $29.84 /  $32.29 /  $37.00 / 
63967 /  "Giga Wrecker ALT [Collectors Edition]" /  $58.67 /  $67.47 /  $78.04 / 
47102 /  Go Vacation /  $25.00 /  $26.88 /  $34.99 / 
62316 /  God Eater 3 /  $37.97 /  $39.00 /  $44.00 / 
50143 /  God Wars: The Complete Legend /  $22.06 /  $24.77 /  $33.19 / 
52009 /  God Wars: The Complete Legend [Limited Edition] /  $39.99 /  $51.00 /  $60.00 / 
53817 /  Golf Story /  $31.25 /  $34.53 /  $46.04 / 
55741 /  Golf Story [Pro Bundle] /   /   /   / 
55714 /  "Golf Story [Winners Edition]" /  $69.57 /  $80.00 /  $80.00 / 
61881 /  Gone Home /  $34.54 /  $39.85 /  $51.81 / 
52134 /  Goosebumps The Game /  $16.00 /  $16.64 /  $22.43 / 
63861 /  Gray Nintendo Switch Lite /  $180.43 /  $207.52 /  $269.80 / 
53693 /  Grip /  $19.91 /  $20.22 /  $25.00 / 
58132 /  Grip [Limited Edition] /   /   /   / 
66669 /  Gris /   /   /   / 
62484 /  Guacamelee: One-Two Punch Collection /  $27.83 /  $29.00 /  $36.16 / 
65069 /  Gun Gun Pixies /  $35.31 /  $40.50 /  $51.95 / 
65469 /  Gunvolt Chronicles Luminous Avenger IX /   /   /   / 
46957 /  Happy Birthdays /  $19.95 /  $20.65 /  $29.97 / 
46484 /  Harvest Moon Light of Hope /  $20.30 /  $20.36 /  $22.77 / 
