4193 /  007 Racing /  $4.07 /  $6.27 /  $18.93 / 
4265 /  Blockids /  $5.13 /  $9.26 /  $14.83 / 
4266 /  Blood Omen /  $11.72 /  $18.70 /  $48.62 / 
4267 /  Bloody Roar /  $12.51 /  $22.00 /  $70.00 / 
4268 /  Bloody Roar 2 /  $13.96 /  $27.63 /  $67.49 / 
4269 /  "Blues Clues Blues Big Musical" /  $3.49 /  $6.35 /  $8.52 / 
4270 /  Bob the Builder Can We Fix It /  $2.70 /  $3.77 /  $6.52 / 
12677 /  Bogey Dead 6 /  $4.28 /  $6.48 /  $45.99 / 
12678 /  Bomberman Fantasy Race /  $17.50 /  $28.45 /  $71.26 / 
4271 /  Bomberman Party Edition /  $8.36 /  $13.23 /  $29.99 / 
4272 /  Bomberman World /  $8.18 /  $17.39 /  $45.00 / 
4273 /  Bombing Islands /  $3.68 /  $3.92 /  $10.75 / 
4274 /  Boombots /  $8.32 /  $12.51 /  $39.99 / 
15000 /  Bottom of the 9th /  $5.16 /  $7.74 /  $26.00 / 
18499 /  "Bottom of the 9th 97" /  $6.05 /  $6.68 /  $10.49 / 
20099 /  Bottom of the 9th 99 /  $2.91 /  $4.77 /  $6.48 / 
38456 /  Bottom of the 9th [Long Box] /  $6.67 /  $10.86 /  $26.00 / 
12679 /  Bowling /  $3.25 /  $5.47 /  $7.98 / 
12680 /  Boxing /  $4.14 /  $4.66 /  $4.95 / 
4275 /  Brain Dead 13 /  $24.68 /  $39.95 /  $132.13 / 
38419 /  Brain Dead 13 [Long Box] /  $29.01 /  $40.74 /  $113.13 / 
4276 /  Bratz /  $4.25 /  $4.75 /  $12.04 / 
4277 /  Brave Fencer Musashi /  $29.95 /  $57.38 /  $100.21 / 
4278 /  Bravo Air Race /  $4.89 /  $7.58 /  $22.49 / 
4279 /  Breakout /  $5.00 /  $8.57 /  $15.23 / 
4280 /  Breath of Fire 3 /  $21.94 /  $31.47 /  $132.58 / 
4281 /  Breath of Fire IV /  $27.83 /  $47.50 /  $127.85 / 
4282 /  Brigandine The Legend of Forsena /  $75.29 /  $112.94 /  $170.00 / 
12681 /  Broken Helix /  $5.59 /  $9.38 /  $14.84 / 
4283 /  Broken Sword 2 /  $6.56 /  $9.84 /  $29.57 / 
4284 /  Broken Sword The Shadow of the Templars /  $8.90 /  $12.99 /  $60.72 / 
4285 /  Brunswick Circuit Pro Bowling /  $4.82 /  $7.99 /  $23.95 / 
4286 /  Brunswick Circuit Pro Bowling 2 /  $6.61 /  $9.99 /  $21.84 / 
4287 /  Bubble Bobble Featuring Rainbow Islands /  $12.91 /  $17.66 /  $47.77 / 
7284 /  Bubsy 3D /  $9.99 /  $13.03 /  $29.99 / 
12682 /  Bug Riders /  $4.82 /  $8.98 /  $10.00 / 
4289 /  Bugs Bunny Lost in Time /  $12.12 /  $20.52 /  $47.10 / 
4288 /  Bugs Bunny and Taz Time Busters /  $12.38 /  $20.79 /  $65.65 / 
4291 /  Builders Block /  $8.79 /  $15.52 /  $27.67 / 
4292 /  Burning Road /  $5.47 /  $8.74 /  $23.33 / 
12683 /  BursTrick Wakeboarding /  $2.16 /  $3.42 /  $5.57 / 
4293 /  Bushido Blade /  $12.85 /  $19.88 /  $93.57 / 
4294 /  Bushido Blade 2 /  $13.24 /  $19.97 /  $53.97 / 
4295 /  Bust A Groove /  $26.61 /  $35.24 /  $91.51 / 
4296 /  Bust A Groove 2 /  $42.21 /  $63.32 /  $136.25 / 
4297 /  Bust-A-Move 2 /  $7.23 /  $10.62 /  $74.55 / 
38420 /  Bust-A-Move 2 [Long Box] /  $8.58 /  $12.89 /  $34.32 / 
4298 /  Bust-A-Move 4 /  $7.45 /  $11.44 /  $32.79 / 
4299 /  Bust-A-Move 99 /  $5.96 /  $8.60 /  $41.41 / 
4300 /  Buster Bros. Collection /  $12.12 /  $19.61 /  $48.32 / 
4301 /  Buzz Lightyear of Star Command /  $4.91 /  $9.13 /  $21.97 / 
14077 /  C-12 Final Resistance /  $3.83 /  $5.64 /  $8.60 / 
12684 /  CART World Series /  $2.89 /  $5.44 /  $17.29 / 
4340 /  CTR Crash Team Racing /  $8.03 /  $13.74 /  $50.00 / 
53920 /  "CTR Crash Team Racing [Collectors Edition]" /  $10.67 /  $16.01 /  $41.60 / 
37621 /  CTR Crash Team Racing [Greatest Hits] /  $10.00 /  $14.99 /  $56.38 / 
4303 /  "Cabelas Ultimate Deer Hunt" /  $3.55 /  $5.99 /  $12.34 / 
