4193 //  007 Racing //  $4.37 //  $6.57 //  $18.93 // 
4263 //  Blazing Dragons //  $8.00 //  $15.99 //  $36.91 // 
4265 //  Blockids //  $5.13 //  $10.01 //  $13.53 // 
4266 //  Blood Omen //  $10.99 //  $19.94 //  $47.69 // 
4267 //  Bloody Roar //  $13.75 //  $20.47 //  $70.00 // 
4268 //  Bloody Roar 2 //  $12.99 //  $24.95 //  $60.22 // 
4269 //  "Blues Clues Blues Big Musical" //  $3.24 //  $6.41 //  $9.43 // 
4270 //  Bob the Builder Can We Fix It //  $2.70 //  $3.77 //  $7.48 // 
12677 //  Bogey Dead 6 //  $3.72 //  $7.35 //  $45.99 // 
12678 //  Bomberman Fantasy Race //  $17.50 //  $27.18 //  $71.12 // 
4271 //  Bomberman Party Edition //  $7.39 //  $11.87 //  $31.14 // 
4272 //  Bomberman World //  $8.49 //  $20.36 //  $58.48 // 
4273 //  Bombing Islands //  $3.43 //  $4.06 //  $11.83 // 
4274 //  Boombots //  $7.99 //  $11.55 //  $30.03 // 
15000 //  Bottom of the 9th //  $4.86 //  $7.68 //  $26.00 // 
18499 //  "Bottom of the 9th 97" //  $6.27 //  $6.47 //  $10.49 // 
20099 //  Bottom of the 9th 99 //  $2.91 //  $4.81 //  $6.48 // 
38456 //  Bottom of the 9th [Long Box] //  $6.67 //  $10.58 //  $26.00 // 
12679 //  Bowling //  $2.99 //  $4.42 //  $7.68 // 
12680 //  Boxing //  $3.74 //  $4.97 //  $5.28 // 
4275 //  Brain Dead 13 //  $24.95 //  $41.98 //  $132.13 // 
38419 //  Brain Dead 13 [Long Box] //  $30.00 //  $45.00 //  $519.99 // 
4276 //  Bratz //  $3.70 //  $3.88 //  $11.99 // 
4277 //  Brave Fencer Musashi //  $29.99 //  $51.66 //  $120.00 // 
4278 //  Bravo Air Race //  $5.38 //  $7.84 //  $22.49 // 
4279 //  Breakout //  $5.00 //  $7.99 //  $13.99 // 
4280 //  Breath of Fire 3 //  $23.91 //  $39.00 //  $124.97 // 
4281 //  Breath of Fire IV //  $29.51 //  $47.40 //  $121.87 // 
4282 //  Brigandine The Legend of Forsena //  $81.14 //  $118.76 //  $170.00 // 
12681 //  Broken Helix //  $5.59 //  $9.50 //  $14.67 // 
4283 //  Broken Sword 2 //  $6.07 //  $11.45 //  $29.77 // 
4284 //  Broken Sword The Shadow of the Templars //  $7.54 //  $12.99 //  $55.24 // 
4285 //  Brunswick Circuit Pro Bowling //  $5.48 //  $8.41 //  $23.95 // 
4286 //  Brunswick Circuit Pro Bowling 2 //  $6.54 //  $9.30 //  $18.78 // 
4287 //  Bubble Bobble Featuring Rainbow Islands //  $13.64 //  $18.81 //  $48.00 // 
7284 //  Bubsy 3D //  $10.11 //  $15.42 //  $29.99 // 
12682 //  Bug Riders //  $4.80 //  $9.00 //  $10.14 // 
4289 //  Bugs Bunny Lost in Time //  $12.49 //  $21.90 //  $41.67 // 
4288 //  Bugs Bunny and Taz Time Busters //  $11.91 //  $23.31 //  $65.13 // 
4291 //  Builders Block //  $8.02 //  $16.12 //  $27.20 // 
4292 //  Burning Road //  $5.43 //  $8.35 //  $21.72 // 
12683 //  BursTrick Wakeboarding //  $2.40 //  $3.51 //  $5.88 // 
4293 //  Bushido Blade //  $12.00 //  $20.37 //  $107.35 // 
4294 //  Bushido Blade 2 //  $14.66 //  $21.49 //  $53.66 // 
4295 //  Bust A Groove //  $25.97 //  $41.70 //  $93.23 // 
4296 //  Bust A Groove 2 //  $43.24 //  $72.49 //  $170.23 // 
4297 //  Bust-A-Move 2 //  $6.94 //  $10.00 //  $74.55 // 
38420 //  Bust-A-Move 2 [Long Box] //  $8.58 //  $15.01 //  $34.32 // 
4298 //  Bust-A-Move 4 //  $7.37 //  $10.00 //  $32.79 // 
4299 //  Bust-A-Move 99 //  $5.91 //  $8.99 //  $40.83 // 
4300 //  Buster Bros. Collection //  $12.15 //  $18.87 //  $49.80 // 
4301 //  Buzz Lightyear of Star Command //  $5.53 //  $9.00 //  $22.00 // 
14077 //  C-12 Final Resistance //  $4.08 //  $6.90 //  $8.66 // 
12684 //  CART World Series //  $2.89 //  $5.87 //  $18.95 // 
4340 //  CTR Crash Team Racing //  $8.74 //  $15.00 //  $55.48 // 
53920 //  "CTR Crash Team Racing [Collectors Edition]" //  $10.55 //  $17.38 //  $42.51 // 
37621 //  CTR Crash Team Racing [Greatest Hits] //  $8.98 //  $13.71 //  $53.84 // 
4303 //  "Cabelas Ultimate Deer Hunt" //  $3.14 //  $5.84 //  $12.48 // 
12685 //  "Caesars Palace" //  $2.90 //  $4.06 //  $8.35 // 
7286 //  "Caesars Palace 2" //  $3.20 //  $4.45 //  $17.95 // 
12686 //  "Caesars Palace 2000" //  $3.29 //  $4.87 //  $12.27 // 
4304 //  Capcom vs SNK Pro //  $18.89 //  $39.03 //  $84.99 // 
14287 //  Car and Driver Presents Grand Tour Racing 98 //  $3.42 //  $4.44 //  $9.99 // 
12687 //  Card Games //  $3.13 //  $4.04 //  $6.16 // 
4305 //  Cardinal Syn //  $6.21 //  $7.11 //  $17.86 // 
4306 //  Carnage Heart //  $17.15 //  $28.00 //  $35.50 // 
4307 //  Casper //  $4.46 //  $7.07 //  $34.40 // 
4308 //  Casper Friends Around the World //  $4.83 //  $5.47 //  $21.34 // 
37620 //  Casper [Greatest Hits] //  $6.49 //  $9.73 //  $25.26 // 
4309 //  Castlevania Chronicles //  $58.41 //  $91.19 //  $186.37 // 
4310 //  Castlevania Symphony of the Night //  $39.47 //  $74.58 //  $120.15 // 
37589 //  Castlevania Symphony of the Night [Greatest Hits] //  $43.46 //  $63.00 //  $137.50 // 
12688 //  Castrol Honda Superbike Racing //  $3.99 //  $4.77 //  $9.99 // 
4313 //  Centipede //  $5.12 //  $6.88 //  $15.00 // 
12690 //  Championship Motocross //  $3.51 //  $5.44 //  $9.99 // 
4314 //  Championship Motocross 2001 //  $3.87 //  $8.39 //  $18.97 // 
