4193 //  007 Racing //  $4.07 //  $7.08 //  $18.93 // 
37617 //  Ape Escape [Greatest Hits] //  $8.69 //  $19.92 //  $50.10 // 
4215 //  Apocalypse //  $6.85 //  $12.41 //  $34.00 // 
12613 //  "Aquanauts Holiday" //  $8.00 //  $16.99 //  $43.20 // 
4216 //  Arc The Lad Collection //  $22.58 //  $61.51 //  $115.69 // 
12614 //  Arcade Party Pak //  $5.54 //  $7.65 //  $13.04 // 
4232 //  "Arcades Greatest Hits Atari Collection 1" //  $4.68 //  $6.86 //  $14.86 // 
8519 //  "Arcades Greatest Hits Atari Collection 2" //  $6.95 //  $8.90 //  $29.87 // 
4577 //  "Arcades Greatest Hits Midway Collection 2" //  $6.45 //  $9.00 //  $40.55 // 
4217 //  Area 51 //  $7.36 //  $10.47 //  $63.50 // 
4218 //  Armored Core //  $10.52 //  $20.50 //  $73.47 // 
12615 //  Armored Core Master of Arena //  $11.88 //  $18.50 //  $29.99 // 
4219 //  Armored Core Project Phantasma //  $14.23 //  $27.97 //  $116.14 // 
12616 //  Armorines Project SWARM //  $3.33 //  $8.26 //  $11.60 // 
12578 //  Army Men 3D //  $3.73 //  $7.49 //  $23.30 // 
62530 //  "Army Men 3D [Collectors Edition]" //  $3.99 //  $5.97 //  $15.57 // 
49703 //  Army Men 3D [Greatest Hits] //  $5.27 //  $6.74 //  $21.69 // 
4220 //  Army Men Air Attack //  $3.74 //  $5.46 //  $18.33 // 
4221 //  Army Men Air Attack 2 //  $4.38 //  $6.16 //  $21.99 // 
62532 //  "Army Men Air Attack [Collectors Edition]" //   //   //   // 
49704 //  Army Men Air Attack [Greatest Hits] //  $5.33 //  $8.00 //  $29.95 // 
4222 //  Army Men Gold //  $15.00 //  $22.00 //  $60.45 // 
12617 //  Army Men Green Rogue //  $4.73 //  $8.48 //  $21.35 // 
4228 //  "Army Men Sarges Heroes" //  $6.45 //  $7.99 //  $37.02 // 
12093 //  "Army Men Sarges Heroes 2" //  $6.47 //  $8.01 //  $25.81 // 
62531 //  "Army Men Sarges Heroes [Collectors Edition]" //  $9.33 //  $13.99 //  $36.37 // 
4224 //  Army Men World War //  $5.86 //  $8.50 //  $31.64 // 
4225 //  Army Men World War Final Front //  $6.97 //  $10.42 //  $30.00 // 
4226 //  Army Men World War Land Sea Air //  $5.93 //  $7.04 //  $39.05 // 
4227 //  Army Men World War Team Assault //  $4.48 //  $6.21 //  $20.09 // 
12618 //  Arthur Ready to Race //  $4.47 //  $5.88 //  $15.52 // 
12619 //  Assault Retribution //  $5.09 //  $9.44 //  $20.83 // 
4229 //  Assault Rigs //  $8.07 //  $9.65 //  $53.65 // 
38414 //  Assault Rigs [Long Box] //  $11.99 //  $14.33 //  $120.00 // 
4230 //  Asteroids //  $3.79 //  $5.00 //  $10.52 // 
37618 //  Asteroids [Greatest Hits] //  $2.89 //  $4.55 //  $11.57 // 
4231 //  Atari Anniversary Redux //  $2.88 //  $4.38 //  $11.52 // 
4233 //  Atlantis The Lost Empire //  $7.35 //  $13.99 //  $23.76 // 
12621 //  Austin Powers Pinball //  $3.41 //  $5.12 //  $6.50 // 
4236 //  Auto Destruct //  $7.20 //  $10.32 //  $27.20 // 
12658 //  Azure Dreams //  $40.14 //  $50.52 //  $124.99 // 
12659 //  BRAHMA Force the Assault on Beltlogger 9 //  $4.99 //  $7.59 //  $19.95 // 
4237 //  Backstreet Billiards //  $7.29 //  $9.72 //  $17.58 // 
12660 //  Backyard Soccer //  $3.16 //  $5.40 //  $9.27 // 
12661 //  Baldies //  $5.28 //  $8.16 //  $10.98 // 
12662 //  Ball Breakers //  $2.71 //  $4.88 //  $7.00 // 
12663 //  Ballblazer Champions //  $3.99 //  $5.51 //  $9.99 // 
4238 //  Ballerburg Castle Chaos //  $4.78 //  $5.76 //  $8.00 // 
12664 //  Ballistic //  $4.54 //  $6.95 //  $18.11 // 
12665 //  Barbie Explorer //  $5.58 //  $11.40 //  $24.99 // 
4239 //  Barbie Gotta Have Games //  $4.71 //  $6.56 //  $7.15 // 
4240 //  Barbie Race and Ride //  $3.94 //  $5.48 //  $12.87 // 
4241 //  Barbie Super Sports //  $4.12 //  $6.18 //  $8.70 // 
19220 //  Bases Loaded 96: Double Header //  $5.03 //  $9.65 //  $26.00 // 
4242 //  Bass Championship //  $3.94 //  $5.50 //  $12.99 // 
4243 //  Bass Landing //  $9.89 //  $11.62 //  $37.29 // 
12666 //  Bass Rise //  $3.51 //  $6.50 //  $15.43 // 
4245 //  Batman Beyond //  $7.53 //  $14.28 //  $38.60 // 
4246 //  Batman Forever Arcade //  $49.99 //  $101.93 //  $208.53 // 
4247 //  Batman Gotham City Racer //  $9.99 //  $25.00 //  $48.22 // 
4244 //  Batman and Robin //  $13.17 //  $18.82 //  $69.95 // 
4248 //  Battle Arena Toshinden //  $5.20 //  $10.44 //  $66.56 // 
4249 //  Battle Arena Toshinden 2 //  $8.38 //  $14.50 //  $105.90 // 
38418 //  Battle Arena Toshinden 2 [Long Box] //  $17.50 //  $19.99 //  $699.99 // 
4250 //  Battle Arena Toshinden 3 //  $10.79 //  $20.42 //  $96.40 // 
37619 //  Battle Arena Toshinden [Greatest Hits] //  $5.00 //  $10.99 //  $20.00 // 
38417 //  Battle Arena Toshinden [Long Box] //  $9.99 //  $14.50 //  $189.06 // 
63132 //  Battle Arena Toshinden [Not for Resale] //  $11.23 //  $16.84 //  $44.04 // 
4251 //  Battle Hunter //  $8.92 //  $12.47 //  $19.99 // 
12667 //  Battle Stations //  $3.06 //  $5.93 //  $9.44 // 
34013 //  Battlesport //  $7.79 //  $17.54 //  $42.65 // 
4252 //  Battletanx Global Assault //  $5.43 //  $7.02 //  $13.70 // 
4253 //  Bear in the Big Blue House //  $4.13 //  $6.20 //  $10.31 // 
4254 //  Beast Wars Transformers //  $7.51 //  $15.59 //  $49.30 // 
12668 //  Beyblade Let It Rip //  $2.98 //  $4.64 //  $8.89 // 
4255 //  Beyond the Beyond //  $13.21 //  $26.88 //  $110.43 // 
13963 //  Big Air //  $2.82 //  $4.42 //  $6.30 // 
4256 //  Big Bass Fishing //  $3.98 //  $4.46 //  $8.41 // 
4257 //  Big Bass World Championship //  $3.09 //  $5.42 //  $14.99 // 
4258 //  Big Game Hunter Ultimate Challenge //  $3.31 //  $4.72 //  $8.49 // 
14348 //  Big League Slugger Baseball //  $3.58 //  $6.46 //  $8.38 // 
4259 //  "Big Ol Bass" //  $6.90 //  $8.79 //  $19.34 // 
14396 //  "Big Ol Bass 2" //  $7.95 //  $9.99 //  $31.80 // 
49713 //  "Big Ol Bass [Greatest Hits]" //   //   //   // 
12669 //  Big Strike Bowling //  $3.15 //  $5.07 //  $8.57 // 
4260 //  Billiards //  $3.48 //  $4.12 //  $8.49 // 
12670 //  Biofreaks //  $5.21 //  $5.93 //  $25.63 // 
12671 //  Black Bass/Blue Marlin //  $3.62 //  $7.19 //  $18.72 // 
12672 //  Black Dawn //  $4.71 //  $7.02 //  $16.24 // 
4261 //  Blade //  $7.89 //  $15.03 //  $23.30 // 
4262 //  Blast Chamber //  $6.95 //  $10.43 //  $26.25 // 
12673 //  Blast Lacrosse //  $6.98 //  $11.05 //  $28.78 // 
12674 //  Blast Radius //  $4.04 //  $5.99 //  $12.77 // 
12675 //  Blaster Master Blasting Again //  $5.00 //  $8.95 //  $19.28 // 
12676 //  Blasto //  $9.55 //  $18.45 //  $59.93 // 
4263 //  Blazing Dragons //  $8.00 //  $15.35 //  $36.63 // 
4265 //  Blockids //  $5.13 //  $10.01 //  $13.53 // 
4266 //  Blood Omen //  $11.48 //  $17.99 //  $47.26 // 
4267 //  Bloody Roar //  $13.75 //  $22.00 //  $70.00 // 
4268 //  Bloody Roar 2 //  $12.99 //  $25.73 //  $60.08 // 
4269 //  "Blues Clues Blues Big Musical" //  $3.48 //  $6.47 //  $8.53 // 
4270 //  Bob the Builder Can We Fix It //  $2.70 //  $3.77 //  $7.54 // 
12677 //  Bogey Dead 6 //  $4.17 //  $6.63 //  $45.99 // 
12678 //  Bomberman Fantasy Race //  $17.78 //  $24.99 //  $71.12 // 
4271 //  Bomberman Party Edition //  $7.56 //  $12.12 //  $31.08 // 
4272 //  Bomberman World //  $8.39 //  $20.57 //  $58.72 // 
4273 //  Bombing Islands //  $3.43 //  $4.24 //  $11.85 // 
4274 //  Boombots //  $7.99 //  $11.55 //  $30.20 // 
15000 //  Bottom of the 9th //  $4.70 //  $7.67 //  $26.00 // 
18499 //  "Bottom of the 9th 97" //  $6.09 //  $6.48 //  $10.49 // 
20099 //  Bottom of the 9th 99 //  $2.91 //  $4.81 //  $6.48 // 
38456 //  Bottom of the 9th [Long Box] //  $6.67 //  $11.21 //  $26.00 // 
12679 //  Bowling //  $3.00 //  $4.12 //  $7.68 // 
12680 //  Boxing //  $3.80 //  $4.97 //  $5.31 // 
4275 //  Brain Dead 13 //  $24.95 //  $41.98 //  $132.13 // 
38419 //  Brain Dead 13 [Long Box] //  $30.00 //  $44.18 //  $519.99 // 
4276 //  Bratz //  $3.88 //  $4.63 //  $11.99 // 
4277 //  Brave Fencer Musashi //  $29.99 //  $62.00 //  $120.00 // 
4278 //  Bravo Air Race //  $5.32 //  $7.60 //  $22.49 // 
4279 //  Breakout //  $5.00 //  $8.16 //  $13.94 // 
4280 //  Breath of Fire 3 //  $20.65 //  $34.99 //  $129.00 // 
4281 //  Breath of Fire IV //  $29.01 //  $47.02 //  $122.38 // 
4282 //  Brigandine The Legend of Forsena //  $79.99 //  $131.06 //  $170.00 // 
12681 //  Broken Helix //  $5.59 //  $9.50 //  $14.71 // 
4283 //  Broken Sword 2 //  $6.09 //  $10.68 //  $29.15 // 
4284 //  Broken Sword The Shadow of the Templars //  $7.57 //  $11.22 //  $55.40 // 
4285 //  Brunswick Circuit Pro Bowling //  $4.62 //  $8.39 //  $23.95 // 
4286 //  Brunswick Circuit Pro Bowling 2 //  $6.62 //  $9.32 //  $21.84 // 
4287 //  Bubble Bobble Featuring Rainbow Islands //  $13.20 //  $19.11 //  $48.00 // 
7284 //  Bubsy 3D //  $11.04 //  $15.54 //  $29.99 // 
12682 //  Bug Riders //  $4.80 //  $9.17 //  $10.14 // 
4289 //  Bugs Bunny Lost in Time //  $12.61 //  $20.12 //  $41.11 // 
4288 //  Bugs Bunny and Taz Time Busters //  $11.52 //  $21.11 //  $65.18 // 
4291 //  Builders Block //  $8.02 //  $15.18 //  $27.20 // 
4292 //  Burning Road //  $5.43 //  $8.35 //  $21.72 // 
12683 //  BursTrick Wakeboarding //  $2.16 //  $3.52 //  $5.87 // 
4293 //  Bushido Blade //  $11.97 //  $20.00 //  $108.77 // 
4294 //  Bushido Blade 2 //  $13.43 //  $24.76 //  $53.66 // 
4295 //  Bust A Groove //  $25.97 //  $41.94 //  $93.41 // 
4296 //  Bust A Groove 2 //  $43.74 //  $69.93 //  $136.96 // 
4297 //  Bust-A-Move 2 //  $6.86 //  $10.24 //  $74.55 // 
38420 //  Bust-A-Move 2 [Long Box] //  $8.58 //  $16.01 //  $34.32 // 
4298 //  Bust-A-Move 4 //  $7.10 //  $10.85 //  $32.79 // 
4299 //  Bust-A-Move 99 //  $5.92 //  $8.73 //  $40.86 // 
4300 //  Buster Bros. Collection //  $12.15 //  $19.95 //  $49.35 // 
4301 //  Buzz Lightyear of Star Command //  $5.53 //  $9.49 //  $21.96 // 
14077 //  C-12 Final Resistance //  $4.06 //  $6.90 //  $8.63 // 
12684 //  CART World Series //  $2.89 //  $4.99 //  $18.95 // 
4340 //  CTR Crash Team Racing //  $10.00 //  $15.00 //  $55.48 // 
53920 //  "CTR Crash Team Racing [Collectors Edition]" //  $10.18 //  $17.96 //  $42.51 // 
37621 //  CTR Crash Team Racing [Greatest Hits] //  $8.93 //  $14.13 //  $55.83 // 
4303 //  "Cabelas Ultimate Deer Hunt" //  $3.18 //  $5.89 //  $12.54 // 
12685 //  "Caesars Palace" //  $3.29 //  $4.20 //  $8.95 // 
7286 //  "Caesars Palace 2" //  $3.20 //  $4.74 //  $17.95 // 
12686 //  "Caesars Palace 2000" //  $3.36 //  $4.50 //  $10.90 // 
4304 //  Capcom vs SNK Pro //  $18.89 //  $37.97 //  $82.48 // 
14287 //  Car and Driver Presents Grand Tour Racing 98 //  $3.42 //  $4.45 //  $9.99 // 
12687 //  Card Games //  $3.13 //  $4.70 //  $6.13 // 
4305 //  Cardinal Syn //  $6.20 //  $7.83 //  $15.46 // 
4306 //  Carnage Heart //  $17.15 //  $27.88 //  $35.50 // 
4307 //  Casper //  $5.15 //  $7.98 //  $35.36 // 
4308 //  Casper Friends Around the World //  $4.76 //  $5.26 //  $21.48 // 
37620 //  Casper [Greatest Hits] //  $6.46 //  $9.72 //  $24.95 // 
4309 //  Castlevania Chronicles //  $58.51 //  $101.27 //  $186.50 // 
4310 //  Castlevania Symphony of the Night //  $37.14 //  $75.10 //  $120.92 // 
37589 //  Castlevania Symphony of the Night [Greatest Hits] //  $39.71 //  $65.00 //  $129.42 // 
12688 //  Castrol Honda Superbike Racing //  $3.99 //  $4.01 //  $9.99 // 
4313 //  Centipede //  $5.13 //  $6.88 //  $15.00 // 
12690 //  Championship Motocross //  $3.48 //  $5.44 //  $9.99 // 
4314 //  Championship Motocross 2001 //  $3.87 //  $7.84 //  $19.06 // 
12689 //  Championship Surfer //  $2.92 //  $4.57 //  $5.33 // 
12904 //  Chess //  $3.52 //  $3.53 //  $8.63 // 
4315 //  Chessmaster 3D //  $3.49 //  $5.95 //  $40.42 // 
38421 //  Chessmaster 3D [Long Box] //  $4.99 //  $11.53 //  $19.96 // 
4316 //  Chessmaster II //  $5.75 //  $5.89 //  $23.60 // 
4317 //  Chicken Run //  $4.97 //  $11.16 //  $18.34 // 
4318 //  Chocobo Racing //  $22.89 //  $39.99 //  $91.99 // 
4319 //  "Chocobos Dungeon 2" //  $17.72 //  $40.00 //  $100.15 // 
8733 //  Chronicles of the Sword //  $6.21 //  $9.32 //  $24.84 // 
4320 //  Chrono Cross //  $7.09 //  $17.40 //  $20.68 // 
37587 //  Chrono Cross [Greatest Hits] //  $6.04 //  $10.82 //  $12.98 // 
4321 //  Circuit Breakers //  $6.57 //  $7.96 //  $27.85 // 
4322 //  Civilization II //  $10.59 //  $14.54 //  $36.17 // 
39951 //  Clear Blue Dual Shock Controller //  $12.00 //  $18.00 //  $48.00 // 
53813 //  Clear Dual Shock Controller //  $11.50 //  $17.25 //  $46.00 // 
39950 //  Clear Green Dual Shock Controller //  $12.00 //  $17.99 //  $48.00 // 
58121 //  Clear Red Dual Shock Controller //   //   //   // 
12691 //  "Cleopatras Fortune" //  $4.66 //  $6.58 //  $7.98 // 
4323 //  Clock Tower //  $44.21 //  $82.50 //  $399.99 // 
4324 //  Clock Tower 2 //  $59.99 //  $120.00 //  $204.25 // 
12692 //  Codename Tenka //  $6.50 //  $11.34 //  $40.51 // 
18581 //  Colin McRae Rally //  $6.79 //  $10.19 //  $26.21 // 
4325 //  Colin Mcrae Rally 2.0 //  $18.81 //  $36.73 //  $37.83 // 
12585 //  Collection of Intellivision Classic Games //  $4.97 //  $7.46 //  $13.05 // 
67582 //  "Collectors Edition: 007: Racing & Medal of Honor & 007: Tomorrow Never Dies" //   //   //   // 
17615 //  College Slam //  $7.99 //  $9.23 //  $12.29 // 
38422 //  College Slam [Long Box] //  $4.51 //  $10.61 //  $18.00 // 
4326 //  Colony Wars //  $6.01 //  $11.82 //  $24.28 // 
4327 //  Colony Wars Red Sun //  $5.28 //  $7.58 //  $18.71 // 
4328 //  Colony Wars Vengeance //  $4.33 //  $8.85 //  $19.56 // 
4329 //  Command and Conquer //  $8.58 //  $9.57 //  $47.01 // 
4330 //  Command and Conquer Red Alert //  $11.45 //  $14.19 //  $48.77 // 
4332 //  Command and Conquer Red Alert Retaliation //  $8.74 //  $15.44 //  $38.47 // 
12693 //  Contender //  $2.99 //  $4.45 //  $9.07 // 
12694 //  Contender 2 //  $3.92 //  $4.99 //  $8.95 // 
4333 //  Contra Adventure //  $19.99 //  $39.47 //  $100.00 // 
4334 //  Contra Legacy of War //  $8.02 //  $14.99 //  $97.14 // 
12695 //  Cool Boarders //  $5.60 //  $10.31 //  $23.40 // 
12696 //  Cool Boarders 2 //  $4.35 //  $6.23 //  $14.84 // 
49705 //  Cool Boarders 2 [Greatest Hits] //  $2.73 //  $2.73 //  $9.95 // 
12698 //  Cool Boarders 2001 //  $2.47 //  $3.23 //  $8.89 // 
12697 //  Cool Boarders 3 //  $3.45 //  $5.34 //  $13.73 // 
49706 //  Cool Boarders 3 [Greatest Hits] //  $2.69 //  $4.84 //  $10.76 // 
13098 //  Cool Boarders 4 //  $3.29 //  $4.99 //  $6.95 // 
49707 //  Cool Boarders 4 [Greatest Hits] //  $3.83 //  $3.84 //  $9.95 // 
4335 //  Countdown Vampires //  $29.99 //  $55.00 //  $119.96 // 
12699 //  Courier Crisis //  $5.16 //  $11.35 //  $30.67 // 
7301 //  Covert Ops Nuclear Dawn //  $4.92 //  $9.90 //  $37.55 // 
4336 //  Crash Bandicoot //  $11.07 //  $15.49 //  $36.81 // 
4337 //  Crash Bandicoot 2 Cortex Strikes Back //  $6.42 //  $11.36 //  $36.53 // 
37613 //  Crash Bandicoot 2 Cortex Strikes Back [Greatest Hits] //  $7.00 //  $9.48 //  $22.98 // 
15026 //  "Crash Bandicoot Collectors Edition" //  $37.42 //  $40.01 //  $143.92 // 
4338 //  Crash Bandicoot Warped //  $6.18 //  $10.57 //  $42.23 // 
53919 //  "Crash Bandicoot Warped [Collectors Edition]" //  $9.74 //  $13.89 //  $36.24 // 
37591 //  Crash Bandicoot Warped [Greatest Hits] //  $6.49 //  $9.48 //  $49.99 // 
37590 //  Crash Bandicoot [Greatest Hits] //  $12.02 //  $18.98 //  $70.43 // 
4339 //  Crash Bash //  $8.96 //  $15.00 //  $48.94 // 
53918 //  "Crash Bash [Collectors Edition]" //  $9.99 //  $14.23 //  $37.00 // 
37622 //  Crash Bash [Greatest Hits] //  $9.95 //  $12.03 //  $31.53 // 
4341 //  Creatures //  $4.30 //  $6.69 //  $11.59 // 
4342 //  Creatures Raised In Space //  $4.98 //  $10.47 //  $10.48 // 
12700 //  Crime Killer //  $3.72 //  $7.19 //  $16.72 // 
4343 //  Critical Depth //  $3.79 //  $8.77 //  $14.60 // 
12701 //  Criticom //  $6.46 //  $9.00 //  $32.00 // 
38423 //  Criticom [Long Box] //  $8.51 //  $12.64 //  $49.99 // 
4344 //  Croc //  $5.69 //  $10.00 //  $36.62 // 
4345 //  Croc 2 //  $8.79 //  $12.99 //  $54.62 // 
37623 //  Croc [Greatest Hits] //  $5.99 //  $10.87 //  $31.00 // 
12702 //  Crossroad Crisis //  $3.42 //  $5.39 //  $6.49 // 
4346 //  Crusader-No Remorse //  $11.99 //  $26.34 //  $33.41 // 
4347 //  Crusaders of Might and Magic //  $3.76 //  $6.79 //  $15.01 // 
4348 //  Crypt Killer //  $14.37 //  $20.00 //  $46.50 // 
12703 //  Cubix Robots for Everyone Race N Robots //  $3.19 //  $5.11 //  $7.40 // 
4349 //  Cyber Sled //  $7.99 //  $12.30 //  $57.01 // 
38424 //  Cyber Sled [Long Box] //  $6.99 //  $14.00 //  $89.99 // 
12704 //  CyberSpeed //  $4.60 //  $9.04 //  $30.85 // 
38425 //  CyberSpeed [Long Box] //  $5.82 //  $7.17 //  $77.00 // 
12705 //  CyberTiger //  $2.49 //  $3.30 //  $9.95 // 
12706 //  Cyberia //  $5.05 //  $10.75 //  $38.38 // 
38426 //  Cyberia [Long Box] //  $10.81 //  $16.34 //  $73.38 // 
14051 //  D //  $12.36 //  $54.09 //  $140.03 // 
38427 //  D [Long Box] //  $39.10 //  $58.65 //  $249.99 // 
4350 //  Dance Dance Revolution //  $4.89 //  $8.50 //  $14.04 // 
4351 //  Dance Dance Revolution Bundle //  $10.11 //  $31.20 //  $278.29 // 
4352 //  Dance Dance Revolution Disney Mix //  $8.74 //  $14.78 //  $40.69 // 
4353 //  Dance Dance Revolution Konamix //  $4.18 //  $6.94 //  $18.71 // 
49708 //  Dance Dance Revolution Konamix [Greatest Hits] //  $5.34 //  $5.96 //  $10.65 // 
4354 //  Danger Girl //  $10.00 //  $17.24 //  $38.99 // 
12708 //  Dare Devil Derby 3D //  $3.05 //  $5.82 //  $19.99 // 
12709 //  Darklight Conflict //  $2.97 //  $7.58 //  $18.73 // 
4355 //  Darkstalkers 3 //  $21.90 //  $45.28 //  $82.27 // 
4356 //  Darkstalkers The Night Warriors //  $20.05 //  $75.00 //  $201.86 // 
38429 //  Darkstalkers The Night Warriors [Long Box] //  $25.85 //  $49.99 //  $103.40 // 
4357 //  Darkstone //  $4.80 //  $6.08 //  $18.92 // 
14363 //  Dave Mirra Freestyle BMX //  $4.49 //  $6.86 //  $29.99 // 
14140 //  Dave Mirra Freestyle BMX Maximum Remix //  $4.43 //  $10.52 //  $12.99 // 
49709 //  Dave Mirra Freestyle BMX [Greatest Hits] //  $3.99 //  $7.99 //  $7.99 // 
18699 //  David Beckham Soccer //  $3.87 //  $5.65 //  $9.76 // 
18630 //  Dead Ball Zone //  $4.21 //  $10.42 //  $39.69 // 
4358 //  Dead in the Water //  $5.19 //  $13.27 //  $26.79 // 
4359 //  Dead or Alive //  $11.86 //  $25.30 //  $93.27 // 
12710 //  Deathtrap Dungeon //  $5.37 //  $7.31 //  $29.64 // 
12711 //  Deception III Dark Delusion //  $21.22 //  $31.83 //  $62.99 // 
12707 //  Defcon 5 //  $5.06 //  $8.37 //  $21.75 // 
38430 //  Defcon 5 [Long Box] //  $8.89 //  $11.41 //  $35.56 // 
4360 //  Delta Force Urban Warfare //  $3.87 //  $6.75 //  $14.01 // 
4361 //  Demolition Racer //  $5.50 //  $10.69 //  $39.46 // 
13836 //  Descent //  $8.00 //  $12.97 //  $41.51 // 
4362 //  Descent Maximum //  $7.04 //  $10.27 //  $49.62 // 
38431 //  Descent [Long Box] //  $9.54 //  $13.23 //  $39.95 // 
4363 //  Destrega //  $11.88 //  $17.90 //  $35.97 // 
4364 //  Destruction Derby //  $5.14 //  $7.74 //  $31.99 // 
4365 //  Destruction Derby 2 //  $5.92 //  $8.53 //  $33.63 // 
37625 //  Destruction Derby 2 [Greatest Hits] //  $6.21 //  $9.91 //  $20.70 // 
4366 //  Destruction Derby Raw //  $8.00 //  $13.95 //  $31.36 // 
37624 //  Destruction Derby [Greatest Hits] //  $5.35 //  $7.46 //  $18.08 // 
38432 //  Destruction Derby [Long Box] //  $10.07 //  $11.89 //  $100.00 // 
4367 //  Detective Barbie The Mystery Cruise //  $4.69 //  $5.76 //  $9.25 // 
4368 //  Devil Dice //  $11.43 //  $14.99 //  $30.12 // 
4369 //  "Dexters Laboratory Mandarks Lab" //  $6.25 //  $7.97 //  $14.37 // 
4370 //  Diablo //  $34.81 //  $55.00 //  $349.99 // 
