12113 //  BreakThru //  $6.95 //  $26.01 //  $803.13 // 
38039 //  Breakthru [5 Screw] //  $8.20 //  $26.00 //  $68.14 // 
14930 //  Bubble Bath Babes //  $1404.81 //  $2499.94 //   // 
11983 //  Bubble Bobble //  $16.02 //  $46.00 //  $403.72 // 
8654 //  Bubble Bobble Part 2 //  $317.19 //  $727.62 //  $5299.99 // 
8658 //  "Bucky OHare" //  $115.96 //  $272.23 //  $678.75 // 
8661 //  Bugs Bunny Birthday Blowout //  $8.88 //  $24.87 //  $189.98 // 
8662 //  Bugs Bunny Crazy Castle //  $9.86 //  $20.00 //  $39.99 // 
12114 //  "Bump n Jump" //  $5.00 //  $20.50 //  $70.21 // 
12115 //  Burai Fighter //  $10.46 //  $27.45 //  $88.25 // 
38006 //  BurgerTime [5 Screw] //  $14.20 //  $61.67 //  $237.67 // 
12116 //  Burgertime //  $11.11 //  $36.65 //  $264.83 // 
12117 //  Cabal //  $8.68 //  $30.76 //  $96.79 // 
8683 //  "Caesars Palace" //  $5.23 //  $13.99 //  $37.50 // 
12118 //  California Games //  $7.31 //  $20.40 //  $102.48 // 
8687 //  California Raisins The Great Escape [Reproduction] //  $48.00 //  $90.00 //  $340.82 // 
14928 //  Caltron 6-in-1 //  $263.23 //  $324.37 //  $385.71 // 
67470 //  Candelabra: Estoscerro [Homebrew] //   //   //   // 
8695 //  Captain America and the Avengers //  $33.24 //  $76.26 //  $386.47 // 
8696 //  Captain Planet and the Planeteers //  $15.01 //  $49.99 //  $85.96 // 
12120 //  Captain Skyhawk //  $3.67 //  $13.71 //  $69.72 // 
12121 //  Casino Kid //  $5.60 //  $15.99 //  $51.00 // 
8701 //  Casino Kid II //  $90.00 //  $190.13 //  $603.16 // 
8702 //  Castelian //  $15.52 //  $49.15 //  $92.00 // 
12122 //  Castle of Deceit //  $81.10 //  $151.40 //  $153.54 // 
12123 //  Castle of Dragon //  $10.91 //  $25.99 //  $94.86 // 
12124 //  Castlequest //  $7.74 //  $21.52 //  $88.46 // 
8704 //  Castlevania //  $24.00 //  $116.58 //  $408.35 // 
11984 //  "Castlevania II Simons Quest" //  $9.99 //  $57.78 //  $680.48 // 
8706 //  "Castlevania III Draculas Curse" //  $25.24 //  $110.49 //  $610.01 // 
38007 //  Castlevania [5 Screw] //  $25.57 //  $249.99 //  $319.49 // 
12126 //  Caveman Games //  $7.14 //  $19.36 //  $183.95 // 
16130 //  Challenge of the Dragon //  $102.85 //  $125.97 //  $281.07 // 
8713 //  Championship Bowling //  $6.61 //  $12.50 //  $34.31 // 
8714 //  Championship Pool //  $14.03 //  $24.23 //  $61.12 // 
14927 //  Cheetahmen II //  $1339.01 //  $1370.85 //  $2250.85 // 
70912 //  Cheetahmen II: The Lost Levels [Homebrew] //  $18.07 //  $46.87 //  $149.99 // 
8722 //  Chessmaster //  $4.71 //  $15.87 //  $39.34 // 
8729 //  Chiller //  $62.16 //  $132.01 //  $306.50 // 
12127 //  Chip and Dale Rescue Rangers //  $12.00 //  $41.50 //  $372.51 // 
8730 //  Chip and Dale Rescue Rangers 2 //  $201.75 //  $615.51 //  $1147.48 // 
12128 //  Chubby Cherub //  $59.18 //  $474.34 //  $1033.45 // 
12129 //  Circus Caper //  $9.34 //  $22.15 //  $89.39 // 
12130 //  City Connection //  $8.84 //  $27.90 //  $88.00 // 
12131 //  Clash at Demonhead //  $15.00 //  $43.53 //  $99.99 // 
12132 //  Classic Concentration //  $8.16 //  $18.49 //  $66.32 // 
38378 //  Cleaning Kit //  $7.94 //  $12.87 //  $38.31 // 
8738 //  Cliffhanger //  $49.14 //  $82.82 //  $188.85 // 
12133 //  Clu Clu Land //  $52.96 //  $346.97 //  $546.66 // 
12134 //  Cobra Command //  $7.02 //  $19.99 //  $137.09 // 
8743 //  Cobra Triangle //  $5.93 //  $22.06 //  $113.55 // 
8747 //  Code Name Viper //  $7.96 //  $28.68 //  $98.19 // 
8753 //  Color A Dinosaur //  $80.70 //  $310.00 //  $813.73 // 
12135 //  Commando //  $5.99 //  $32.99 //  $267.35 // 
37997 //  Commando [5 Screw] //  $6.02 //  $33.34 //  $67.20 // 
12136 //  Conan the Mysteries of Time //  $47.52 //  $84.88 //  $289.65 // 
12137 //  Conflict //  $14.29 //  $27.13 //  $82.30 // 
12138 //  Conquest of the Crystal Palace //  $31.76 //  $92.41 //  $214.51 // 
12139 //  Contra //  $25.38 //  $67.75 //  $841.67 // 
12140 //  Contra Force //  $81.76 //  $373.22 //  $3000.00 // 
37258 //  Control Deck Test Cartridge //  $463.37 //   //   // 
