3799 //  International Superstar Soccer 98 //  $15.99 //  $41.40 //  $55.32 // 
3800 //  Jeopardy //  $6.85 //  $18.51 //  $49.99 // 
3801 //  Jeremy McGrath Supercross 2000 //  $5.18 //  $13.98 //  $33.78 // 
3802 //  Jet Force Gemini //  $9.98 //  $33.62 //  $99.99 // 
37548 //  Jet Force Gemini [Not for Resale] //  $53.25 //   //   // 
46990 //  Jumper Pak //  $6.05 //  $9.95 //  $26.87 // 
3688 //  Jungle Green Controller //  $34.71 //  $65.91 //  $177.96 // 
3803 //  Ken Griffey Jr Baseball //  $5.93 //  $13.90 //  $33.24 // 
3804 //  "Ken Griffey Jrs Slugfest" //  $8.52 //  $20.40 //  $38.22 // 
3805 //  Killer Instinct Gold //  $18.48 //  $69.46 //  $285.98 // 
3806 //  Kirby 64: The Crystal Shards //  $28.73 //  $78.00 //  $204.63 // 
3807 //  Knife Edge Nose Gunner //  $8.22 //  $26.24 //  $61.82 // 
3808 //  Knockout Kings 2000 //  $2.48 //  $13.75 //  $24.37 // 
3809 //  LEGO Racers //  $7.99 //  $20.84 //  $41.92 // 
3810 //  Lode Runner 3D //  $9.95 //  $20.26 //  $49.27 // 
3838 //  MRC Multi Racing Championship //  $5.35 //  $15.63 //  $44.39 // 
3811 //  Mace Dark Age //  $10.77 //  $33.24 //  $65.35 // 
3812 //  Madden 2000 //  $3.45 //  $11.43 //  $29.37 // 
3813 //  Madden 2001 //  $4.14 //  $12.42 //  $22.35 // 
3814 //  Madden 2002 //  $3.61 //  $20.24 //  $25.53 // 
14134 //  Madden 64 //  $3.20 //  $9.49 //  $24.99 // 
14212 //  Madden 99 //  $3.41 //  $10.72 //  $24.95 // 
3816 //  Magical Tetris Challenge //  $11.54 //  $36.84 //  $85.13 // 
3817 //  Mario Golf //  $22.45 //  $37.32 //  $140.97 // 
3818 //  Mario Kart 64 //  $32.50 //  $53.66 //  $272.27 // 
37549 //  Mario Kart 64 [Not for Resale] //  $112.38 //   //   // 
42331 //  "Mario Kart 64 [Players Choice]" //  $31.00 //  $65.00 //  $306.08 // 
3819 //  Mario Party //  $33.99 //  $70.97 //  $283.98 // 
3820 //  Mario Party 2 //  $40.95 //  $88.36 //  $277.31 // 
52684 //  Mario Party 2 [Not for Resale] //  $50.38 //   //   // 
3821 //  Mario Party 3 //  $45.29 //  $99.96 //  $208.63 // 
37526 //  Mario Party 3 [Not for Resale] //  $76.00 //   //   // 
52685 //  Mario Party [Not for Resale] //  $84.35 //   //   // 
3822 //  Mario Tennis //  $13.67 //  $34.77 //  $111.20 // 
37550 //  Mario Tennis [Not for Resale] //  $36.83 //   //   // 
3823 //  Mega Man 64 //  $31.31 //  $77.85 //  $140.33 // 
3825 //  Mia Hamm Soccer 64 //  $5.58 //  $13.81 //  $29.49 // 
3826 //  "Mickeys Speedway USA" //  $12.85 //  $26.85 //  $82.84 // 
3827 //  Micro Machines //  $12.34 //  $48.99 //  $164.19 // 
3828 //  "Midways Greatest Arcade Hits Vol 1" //  $5.99 //  $16.23 //  $29.74 // 
14432 //  "Mike Piazzas Strike Zone" //  $6.56 //  $20.00 //  $47.18 // 
38567 //  Millennium 2000 Controller //  $780.00 //  $2750.00 //  $7425.00 // 
3829 //  "Milos Astro Lanes" //  $8.25 //  $39.16 //  $67.50 // 
3830 //  Mischief Makers //  $20.86 //  $77.50 //  $141.45 // 
3831 //  Mission Impossible //  $5.82 //  $15.56 //  $50.93 // 
3832 //  Monaco Grand Prix //  $21.98 //  $42.99 //  $99.95 // 
3833 //  Monopoly //  $11.45 //  $20.44 //  $74.99 // 
3834 //  Monster Truck Madness //  $8.31 //  $23.33 //  $58.70 // 
3835 //  Mortal Kombat 4 //  $19.97 //  $39.70 //  $142.65 // 
3836 //  Mortal Kombat Mythologies: Sub-Zero //  $12.93 //  $45.99 //  $102.41 // 
3837 //  Mortal Kombat Trilogy //  $28.86 //  $60.10 //  $162.27 // 
3839 //  Ms. Pac-Man Maze Madness //  $12.73 //  $31.31 //  $69.71 // 
3840 //  Mystical Ninja Starring Goemon //  $47.38 //  $163.75 //  $400.00 // 
59710 //  N64 Controller Pak //  $10.99 //  $27.55 //  $76.93 // 
3824 //  N64 Memory Card //  $10.00 //  $19.99 //  $53.97 // 
3843 //  NASCAR 2000 //  $4.02 //  $12.99 //  $24.31 // 
3844 //  NASCAR 99 //  $3.33 //  $9.69 //  $26.02 // 
3845 //  NBA Courtside //  $9.59 //  $40.00 //  $83.49 // 
3846 //  NBA Courtside 2 //  $17.74 //  $59.64 //  $60.54 // 
3847 //  NBA Hang Time //  $11.91 //  $22.49 //  $73.21 // 
14433 //  NBA In The Zone 2000 //  $14.84 //  $113.49 //  $151.28 // 
14434 //  "NBA In the Zone 98" //  $3.28 //  $10.49 //  $23.28 // 
14435 //  "NBA In the Zone 99" //  $7.44 //  $19.90 //  $26.50 // 
3848 //  NBA Jam 2000 //  $12.55 //  $25.00 //  $44.82 // 
3849 //  NBA Jam 99 //  $9.00 //  $12.99 //  $29.66 // 
3850 //  NBA Live 2000 //  $4.15 //  $15.00 //  $25.39 // 
3851 //  NBA Live 99 //  $4.05 //  $10.98 //  $19.72 // 
3852 //  NBA Showtime //  $7.91 //  $23.02 //  $45.00 // 
3854 //  NFL Blitz //  $12.42 //  $22.36 //  $50.92 // 
3708 //  NFL Blitz 2000 //  $13.77 //  $18.38 //  $52.40 // 
3709 //  NFL Blitz 2001 //  $13.49 //  $23.25 //  $60.18 // 
3855 //  NFL Blitz Special Edition //  $40.23 //  $69.99 //  $112.48 // 
10451 //  NFL Quarterback Club 2000 //  $2.13 //  $7.52 //  $21.00 // 
3877 //  NFL Quarterback Club 2001 //  $7.14 //  $14.91 //  $29.95 // 
14096 //  NFL Quarterback Club 98 //  $3.24 //  $9.50 //  $20.60 // 
14133 //  NFL Quarterback Club 99 //  $3.46 //  $5.50 //  $18.82 // 
3856 //  NHL 99 //  $6.48 //  $13.29 //  $36.68 // 
14436 //  "NHL Blades of Steel 99" //  $6.54 //  $21.61 //  $58.50 // 
14437 //  "NHL Breakaway 98" //  $4.63 //  $10.59 //  $18.95 // 
14438 //  "NHL Breakaway 99" //  $8.78 //  $25.55 //  $25.55 // 
3841 //  "Nagano Winter Olympics 98" //  $5.91 //  $13.90 //  $51.66 // 
3842 //  Namco Museum //  $9.22 //  $18.48 //  $51.58 // 
3857 //  Nightmare Creatures //  $11.93 //  $29.36 //  $72.50 // 
14569 //  Nintendo 64 AV Cable //  $0.21 //  $0.53 //  $1.47 // 
3858 //  Nintendo 64 System //  $25.98 //  $93.20 //  $389.27 // 
63785 //  Nintendo 64 System [Donkey Kong 64 Set] //  $95.00 //  $249.98 //  $665.00 // 
58048 //  Nintendo 64 System [Pokemon Stadium Battle Set] //  $164.28 //  $369.99 //  $1149.97 // 
53690 //  Nintendo 64 System [Star Wars Racer Set] //  $73.68 //  $184.20 //  $515.76 // 
32702 //  Nintendo 64 Test Cartridge //  $1299.00 //   //   // 
3859 //  Nuclear Strike //  $13.70 //  $34.96 //  $149.98 // 
3860 //  Off Road Challenge //  $9.83 //  $22.11 //  $80.00 // 
3861 //  Ogre Battle 64: Person of Lordly Caliber //  $54.18 //  $111.05 //  $217.89 // 
14426 //  Olympic Hockey 98 //  $7.45 //  $20.94 //  $50.16 // 
13163 //  PGA European Tour //  $40.00 //  $73.30 //  $121.21 // 
3862 //  Paper Mario //  $51.00 //  $130.00 //  $313.87 // 
3863 //  Paperboy //  $9.52 //  $29.12 //  $124.76 // 
3864 //  Penny Racers //  $12.17 //  $46.49 //  $60.55 // 
3865 //  Perfect Dark //  $11.49 //  $27.64 //  $44.54 // 
37551 //  Perfect Dark [Not for Resale] //  $47.67 //   //   // 
42332 //  "Perfect Dark [Players Choice]" //   //   //   // 
3866 //  Pikachu Nintendo 64 System //  $172.39 //  $368.89 //  $594.50 // 
3867 //  Pilotwings 64 //  $12.23 //  $35.33 //  $113.02 // 
3868 //  Pokemon Puzzle League //  $15.87 //  $39.16 //  $66.44 // 
3869 //  Pokemon Snap //  $13.74 //  $49.99 //  $94.05 // 
37552 //  Pokemon Snap [Demo Only] [Not for Resale] //   //   //   // 
37553 //  Pokemon Snap [Not for Resale] //  $299.99 //   //   // 
42333 //  "Pokemon Snap [Players Choice]" //   //   //   // 
3870 //  Pokemon Stadium //  $19.95 //  $70.00 //  $211.77 // 
3871 //  Pokemon Stadium 2 //  $40.17 //  $134.50 //  $277.49 // 
37555 //  Pokemon Stadium 2 [Not for Resale] //  $49.90 //   //   // 
37554 //  Pokemon Stadium [Not for Resale] //  $48.09 //   //   // 
3872 //  Polaris SnoCross //  $14.99 //  $46.38 //  $69.99 // 
3873 //  Power Rangers Lightspeed Rescue //  $8.54 //  $33.00 //  $67.29 // 
3874 //  Powerpuff Girls //  $10.00 //  $24.35 //  $40.00 // 
3876 //  Quake //  $13.73 //  $34.03 //  $119.00 // 
3875 //  Quake II //  $15.34 //  $37.01 //  $102.06 // 
3878 //  Quest 64 //  $10.90 //  $38.37 //  $105.39 // 
3879 //  Rainbow Six //  $8.19 //  $23.52 //  $39.75 // 
40359 //  Rainbow Six [Gray Cart] //  $8.00 //  $20.00 //  $54.00 // 
3880 //  Rally Challenge 2000 //  $11.90 //  $20.70 //  $59.99 // 
3881 //  Rampage 2 Universal Tour //  $18.64 //  $49.62 //  $79.06 // 
3882 //  Rampage World Tour //  $19.95 //  $39.98 //  $87.64 // 
3883 //  Rat Attack //  $27.10 //  $162.48 //  $340.48 // 
3884 //  Rayman 2 The Great Escape //  $14.50 //  $36.43 //  $84.04 // 
3885 //  Razor Freestyle Scooter //  $21.86 //  $35.00 //  $61.48 // 
14425 //  Re-Volt //  $10.00 //  $23.87 //  $75.09 // 
3886 //  Ready 2 Rumble Boxing //  $7.01 //  $13.15 //  $35.71 // 
3887 //  Ready 2 Rumble Boxing Round 2 //  $10.00 //  $20.69 //  $46.94 // 
3888 //  Red Controller //  $18.29 //  $40.00 //  $108.00 // 
3889 //  Resident Evil 2 //  $27.99 //  $75.23 //  $199.99 // 
67790 //  Resident Evil 2 [USA-1] //   //   //   // 
3890 //  Ridge Racer 64 //  $8.71 //  $24.97 //  $80.69 // 
3891 //  Road Rash //  $22.59 //  $44.02 //  $149.13 // 
40356 //  Road Rash [Gray Cart] //  $28.22 //  $75.24 //  $203.14 // 
3892 //  Roadsters //  $9.59 //  $28.39 //  $60.25 // 
3893 //  Robotron 64 //  $10.47 //  $32.25 //  $79.95 // 
3894 //  Rocket Robot on Wheel //  $36.37 //  $44.44 //  $120.14 // 
3896 //  Rugrats Scavenger Hunt //  $6.53 //  $16.23 //  $45.71 // 
3895 //  Rugrats in Paris //  $8.00 //  $19.45 //  $50.43 // 
40357 //  Rugrats in Paris [Gray Cart] //  $17.75 //  $37.14 //  $102.90 // 
3897 //  Rumble Pak //  $10.81 //  $46.70 //  $69.25 // 
3898 //  Rush 2 //  $11.03 //  $20.94 //  $75.93 // 
3899 //  Rush 2049 //  $21.37 //  $49.71 //  $118.70 // 
12587 //  SCARS //  $12.00 //  $39.26 //  $59.99 // 
3900 //  San Francisco Rush //  $8.50 //  $26.44 //  $75.23 // 
3901 //  Scooby Doo Classic Creep Capers //  $12.22 //  $35.48 //  $75.25 // 
40358 //  Scooby Doo Classic Creep Capers [Gray Cart] //  $14.40 //  $15.89 //  $42.90 // 
3902 //  Shadow Man //  $10.95 //  $25.73 //  $80.11 // 
3903 //  Shadowgate 64 //  $18.71 //  $54.36 //  $154.49 // 
3686 //  Smoke Controller //  $27.63 //  $70.31 //  $189.94 // 
3904 //  Snowboard Kids //  $32.95 //  $135.92 //  $340.57 // 
3905 //  Snowboard Kids 2 //  $55.39 //  $176.50 //  $741.48 // 
3906 //  South Park //  $13.59 //  $34.50 //  $129.24 // 
3907 //  "South Park Chefs Luv Shack" //  $14.20 //  $25.10 //  $48.38 // 
3908 //  South Park Rally //  $14.67 //  $30.36 //  $90.00 // 
3909 //  Space Invaders //  $13.45 //  $30.95 //  $87.91 // 
3910 //  Space Station Silicon Valley //  $28.49 //  $82.42 //  $135.62 // 
3911 //  Spiderman //  $15.99 //  $40.00 //  $134.29 // 
3918 //  Star Fox 64 //  $16.98 //  $42.73 //  $164.47 // 
37557 //  Star Fox 64 [Not for Resale] //  $73.28 //   //   // 
42334 //  "Star Fox 64 [Players Choice]" //  $15.97 //  $51.24 //  $249.99 // 
38234 //  Star Fox 64 [Rumble Pak Bundle] //  $42.17 //  $79.99 //  $326.04 // 
3912 //  Star Soldier //  $27.42 //  $134.42 //  $217.95 // 
3913 //  Star Wars Battle for Naboo //  $15.99 //  $36.37 //  $95.00 // 
