14490 //  Aero Blasters //  $50.64 //  $71.00 //  $256.48 // 
12062 //  Dungeon Explorer //  $24.78 //  $33.87 //  $104.46 // 
32778 //  Dungeon Explorer II [Super CD] //  $219.66 //  $262.48 //  $988.47 // 
32774 //  "Dungeon Master: Therons Quest [Super CD]" //  $56.60 //  $64.02 //  $125.72 // 
12063 //  Dynastic Hero [Super CD] //  $525.42 //  $1199.99 //  $2364.39 // 
14440 //  Exile Wicked Phenomenon [Super CD] //  $100.75 //  $199.95 //  $260.50 // 
14855 //  Exile [Super CD] //  $58.77 //  $68.56 //  $129.96 // 
14503 //  Falcon //  $17.20 //  $38.52 //  $46.25 // 
14504 //  Fantasy Zone //  $33.26 //  $41.75 //  $61.42 // 
18560 //  Fighting Street [Super CD] //  $29.96 //  $51.51 //  $54.58 // 
14505 //  Final Lap Twin //  $12.29 //  $20.24 //  $45.11 // 
32772 //  Final Zone II [Super CD] //  $49.96 //  $52.90 //  $105.60 // 
18697 //  Forgotten Worlds [Super CD] //  $89.99 //  $126.57 //  $151.99 // 
12064 //  Galaga 90 //  $21.00 //  $33.99 //  $65.34 // 
12065 //  Gate of Thunder //  $81.85 //  $123.06 //  $123.92 // 
63944 // Gate of thunder, Bonks Adventure, Bonk\s Revenge //  $59.09 //  $129.99 //  $259.98 // 
14506 //  Ghost Manor //  $65.39 //  $135.99 //  $167.50 // 
32788 //  Godzilla [Super CD] //  $211.07 //  $285.31 //  $299.95 // 
14507 //  Gunboat //  $28.48 //  $35.43 //  $56.95 // 
14137 //  Hit the Ice //  $23.48 //  $38.12 //  $68.45 // 
20385 //  Impossamole //  $27.03 //  $40.17 //  $78.48 // 
18578 //  It Came From The Desert [Super CD] //  $30.01 //  $42.22 //  $70.82 // 
32784 //  J.B. Harold Murder Club [Super CD] //  $39.37 //  $56.45 //  $111.34 // 
12066 //  JJ & Jeff //  $21.88 //  $34.49 //  $69.69 // 
14508 //  Jack Nicklaus Turbo Golf //  $14.24 //  $16.95 //  $169.99 // 
38573 //  Jack Nicklaus Turbo Golf [Super CD] //  $39.60 //  $89.99 //  $179.78 // 
14509 //  "Jackie Chans Action Kung Fu" //  $109.15 //  $146.87 //  $274.99 // 
18541 //  John Madden Duo CD Football [Super CD] //  $27.59 //  $62.13 //  $62.23 // 
14510 //  Keith Courage in Alpha Zones //  $8.34 //  $12.07 //  $22.35 // 
14511 //  King Of Casino //  $11.67 //  $15.62 //  $79.01 // 
14512 //  Klax //  $14.91 //  $23.42 //  $90.00 // 
32776 //  Last Alert [Super CD] //  $80.42 //  $89.99 //  $216.99 // 
14513 //  Legend of Hero Tonma //  $496.10 //  $875.00 //  $1414.51 // 
14514 //  Legendary Axe //  $29.40 //  $36.47 //  $125.00 // 
14515 //  Legendary Axe II //  $37.52 //  $49.97 //  $99.96 // 
32765 //  Loom [CD] //  $52.11 //  $70.50 //  $137.50 // 
32770 //  Lords of Thunder [Super CD] //  $97.09 //  $139.95 //  $213.22 // 
32781 //  Lords of the Rising Sun [Super CD] //  $32.98 //  $38.53 //  $113.85 // 
14516 //  Magical Chase //  $2356.45 //  $5198.23 //  $10602.23 // 
18695 //  Magical Dinosaur Tour //  $22.64 //  $35.17 //  $89.76 // 
32764 //  Might and Magic III: Isles of Terra [Super CD] //  $228.89 //  $229.08 //  $858.00 // 
12067 //  Military Madness //  $33.57 //  $51.99 //  $103.98 // 
12068 //  Monster Lair [Super CD] //  $40.20 //  $53.72 //  $60.60 // 
12069 //  Moto Roader //  $17.99 //  $29.25 //  $58.50 // 
12070 //  Neutopia //  $54.97 //  $84.97 //  $155.00 // 
12071 //  Neutopia II //  $131.82 //  $211.70 //  $317.33 // 
12072 //  New Adventure Island //  $92.19 //  $142.51 //  $285.02 // 
14517 //  Night Creatures //  $41.43 //  $64.95 //  $73.78 // 
12073 //  Ninja Spirit //  $38.57 //  $48.97 //  $127.11 // 
14518 //  Order of the Griffon //  $51.70 //  $142.41 //  $364.50 // 
12074 //  Ordyne //  $36.46 //  $59.99 //  $106.88 // 
14519 //  Pac-Land //  $16.83 //  $22.99 //  $47.48 // 
14520 //  Parasol Stars //  $88.89 //  $93.00 //  $290.75 // 
12075 //  Power Golf //  $8.99 //  $12.51 //  $29.99 // 
18624 //  Prince of Persia [Super CD] //  $37.08 //  $48.41 //  $49.99 // 
14521 //  Psychosis //  $58.64 //  $77.61 //  $314.99 // 
12077 //  R-Type //  $42.40 //  $58.90 //  $149.95 // 
14522 //  Raiden //  $72.50 //  $111.00 //  $690.15 // 
12076 //  Riot Zone //  $87.32 //  $94.17 //  $98.32 // 
12078 //  Samurai Ghost //  $70.01 //  $165.44 //  $305.90 // 
32771 //  Shadow of the Beast [Super CD] //  $48.95 //  $59.99 //  $70.44 // 
18696 //  Shape Shifter [Super CD] //  $43.25 //  $58.35 //  $75.99 // 
32780 //  Sherlock Holmes: Consulting Detective Volume II [Super CD] //  $39.99 //  $39.99 //  $48.05 // 
32779 //  Sherlock Holmes: Consulting Detective [Super CD] //  $14.01 //  $19.94 //  $35.85 // 
12079 //  Shockman //  $81.95 //  $211.81 //  $268.71 // 
14523 //  Side Arms //  $25.00 //  $32.00 //  $73.66 // 
12080 //  Silent Debuggers //  $26.01 //  $46.71 //  $59.95 // 
37931 //  Sim Earth the Living Planet [Super CD] //  $34.38 //  $34.72 //  $51.00 // 
14253 //  Sinistron //  $42.00 //  $64.96 //  $199.53 // 
14524 //  Snatcher //  $14.99 //  $19.99 //  $65.44 // 
12081 //  Soldier Blade //  $180.37 //  $259.02 //  $824.20 // 
14525 //  Somer Assault //  $65.16 //  $123.78 //  $261.54 // 
14526 //  Sonic Spike Volleyball //  $13.52 //  $22.11 //  $34.47 // 
32790 //  Sorcerian [Super CD] //   //   //   // 
14527 //  Space Harrier //  $29.99 //  $49.97 //  $128.42 // 
18623 //  Splash Lake [Super CD] //  $23.24 //  $31.45 //  $42.65 // 
12082 //  Splatterhouse //  $67.24 //  $91.76 //  $193.52 // 
12083 //  Super Air Zonk [Super CD] //  $436.52 //  $915.90 //  $1831.80 // 
12084 //  Super Star Soldier //  $76.49 //  $106.17 //  $149.98 // 
14528 //  Super Volleyball //  $11.65 //  $22.96 //  $29.99 // 
32786 //  "Syd Meads Terraforming [Super CD]" //  $594.68 //  $1399.11 //  $2658.85 // 
14536 //  TV Sports Basketball //  $8.99 //  $12.99 //  $19.84 // 
14537 //  TV Sports Football //  $7.00 //  $10.24 //  $27.88 // 
14538 //  TV Sports Hockey //  $9.99 //  $14.04 //  $30.00 // 
14529 //  "Takin it to the Hoop" //  $9.49 //  $10.99 //  $20.49 // 
14530 //  TaleSpin //  $33.17 //  $37.69 //  $84.95 // 
21781 //  The Addams Family [Super CD] //  $25.00 //  $46.31 //  $75.53 // 
33635 //  The Local Girls of Hawaii //  $109.99 //  $132.45 //  $264.90 // 
14531 //  Tiger Road //  $35.25 //  $49.13 //  $94.15 // 
14532 //  Time Cruise //  $41.81 //  $78.00 //  $127.51 // 
14533 //  Timeball //  $19.29 //  $34.00 //  $100.00 // 
33201 //  Toilet Kids [Japan] //  $69.99 //  $154.31 //  $314.30 // 
14534 //  Tricky Kick //  $14.12 //  $22.00 //  $61.58 // 
60974 //  Turbo Booster //  $143.03 //  $169.99 //  $629.78 // 
50117 //  Turbo Stick //   //   //   // 
50116 //  Turbo Tap //  $24.11 //  $37.50 //  $40.00 // 
32768 //  TurboDuo Console //  $528.07 //  $1222.30 //  $2411.20 // 
31632 //  TurboExpress //  $279.61 //  $380.69 //  $403.20 // 
55787 //  TurboExpress Car Adapter //   //   //   // 
33818 //  TurboGrafx-16 CD System //  $200.00 //  $440.00 //  $899.45 // 
19984 //  TurboGrafx-16 System //  $126.62 //  $225.00 //  $637.47 // 
40415 //  Turbografx-16 Controller //  $32.86 //  $72.00 //  $144.00 // 
14535 //  Turrican //  $44.60 //  $69.99 //  $200.66 // 
19538 //  Valis II [Super CD] //  $51.59 //  $70.59 //  $300.25 // 
18658 //  Valis III [Super CD] //  $88.75 //  $96.65 //  $101.23 // 
19537 //  Valis: The Fantasm Soldier [Super CD] //  $32.19 //  $34.99 //  $69.97 // 
32789 //  Vasteel II [Super CD] //   //   //   // 
32777 //  Vasteel [Super CD] //  $95.35 //  $133.28 //  $429.08 // 
14539 //  Veigues Tactical Gladiator //  $35.26 //  $50.24 //  $100.00 // 
12085 //  Victory Run //  $10.47 //  $16.23 //  $45.19 // 
12086 //  Vigilante //  $16.94 //  $27.51 //  $55.01 // 
12087 //  World Class Baseball //  $9.71 //  $11.49 //  $23.91 // 
14540 //  World Court Tennis //  $15.21 //  $24.99 //  $46.94 // 
12088 //  World Sports Competition //  $110.32 //  $193.49 //  $324.74 // 
14542 //  Yo Bro //  $25.82 //  $40.22 //  $73.38 // 
18608 //  Ys Books I & II [Super CD] //  $59.39 //  $89.31 //  $353.25 // 
18577 //  Ys III Wanderers from Ys [Super CD] //  $104.39 //  $123.99 //  $242.08 // 
